"Time","Fp1","AF3","F7","F3","FC1","FC5","T7","C3","CP1","CP5","P7","P3","Pz","PO3","O1","Oz","O2","PO4","P4","P8","CP6","CP2","C4","T8","FC6","FC2","F4","F8","AF4","Fp2","Fz","Cz"
0.0078125,7.513396484e-14,3.335867539e-14,2.219013927e-13,8.025575585e-14,3.345819296e-14,3.483231136e-13,1.498838097e-13,4.903883764e-14,2.257609741e-14,2.461388737e-14,4.79255493e-13,1.792761863e-13,1.724662551e-12,1.017176181e-13,8.573666786e-14,6.225701606e-14,3.085940571e-13,2.116782226e-13,2.284194754e-13,7.846696564e-13,8.963174212e-14,3.799345687e-14,1.022657382e-14,1.580925395e-13,2.802359071e-13,3.184289623e-14,7.163691011e-14,5.020395747e-14,1.14076357e-13,1.010636365e-13,4.314588833e-14,1.775159226e-14
0.015625,7.763010636e-14,3.626666723e-14,2.300865307e-13,8.514411606e-14,3.596424021e-14,3.598536563e-13,1.518497469e-13,5.234068937e-14,2.341325303e-14,2.631661413e-14,5.010773574e-13,1.862812438e-13,1.813588183e-12,1.041851246e-13,9.289121814e-14,6.842258361e-14,3.218536368e-13,2.204953222e-13,2.381777227e-13,8.128776627e-13,9.424502759e-14,4.043021078e-14,1.125476965e-14,1.637338207e-13,2.912890148e-13,3.432660979e-14,8.022284045e-14,5.367653383e-14,1.238824791e-13,1.057802544e-13,4.450225551e-14,1.798125712e-14
0.0234375,8.016375738e-14,3.939963019e-14,2.380433418e-13,8.997167431e-14,3.852923447e-14,3.706497233e-13,1.538328691e-13,5.565716261e-14,2.43061566e-14,2.81750895e-14,5.228904596e-13,1.929830926e-13,1.904076966e-12,1.067397152e-13,1.004562904e-13,7.517330641e-14,3.345918502e-13,2.293440989e-13,2.478438739e-13,8.402562231e-13,9.901949145e-14,4.304663336e-14,1.245549762e-14,1.69304481e-13,3.021554104e-13,3.706611709e-14,8.978416695e-14,5.75968781e-14,1.342438701e-13,1.102372905e-13,4.590842639e-14,1.83758108e-14
0.03125,8.276843999e-14,4.27701798e-14,2.457021766e-13,9.483943033e-14,4.120565471e-14,3.806463083e-13,1.556621124e-13,5.90493666e-14,2.526370333e-14,3.021458073e-14,5.444454693e-13,1.992230824e-13,1.99557401e-12,1.093491319e-13,1.084676964e-13,8.271725521e-14,3.475304676e-13,2.384134487e-13,2.575639513e-13,8.668939932e-13,1.039291513e-13,4.589686271e-14,1.381425532e-14,1.748265149e-13,3.127748821e-13,4.009883729e-14,1.003678809e-13,6.177956098e-14,1.452766308e-13,1.146288897e-13,4.745759148e-14,1.896363247e-14
0.0390625,8.535957558e-14,4.64058543e-14,2.533629665e-13,9.998417973e-14,4.408631812e-14,3.904202269e-13,1.573267468e-13,6.257351091e-14,2.630427164e-14,3.24314993e-14,5.66003369e-13,2.052297367e-13,2.086594588e-12,1.119276853e-13,1.1698259e-13,9.11800297e-14,3.611343998e-13,2.47650563e-13,2.674360002e-13,8.9351645e-13,1.090694385e-13,4.896220531e-14,1.53343609e-14,1.800997554e-13,3.231092031e-13,4.335862583e-14,1.121045644e-13,6.618890209e-14,1.569568332e-13,1.193032693e-13,4.91271682e-14,1.978423928e-14
0.046875,8.787175661e-14,5.028119137e-14,2.609505901e-13,1.052464819e-13,4.708999432e-14,3.997665959e-13,1.587438316e-13,6.608524695e-14,2.739801822e-14,3.485286813e-14,5.876521855e-13,2.109472495e-13,2.177899242e-12,1.145072537e-13,1.258978128e-13,1.005771939e-13,3.747663062e-13,2.569009909e-13,2.772816108e-13,9.191279158e-13,1.143364792e-13,5.221829648e-14,1.705021838e-14,1.851436518e-13,3.330923176e-13,4.689813723e-14,1.24982911e-13,7.082021757e-14,1.692235519e-13,1.238092032e-13,5.085736973e-14,2.087455181e-14
0.0546875,9.040866507e-14,5.440210207e-14,2.679940997e-13,1.105041657e-13,5.01611009e-14,4.083303529e-13,1.60024026e-13,6.956336611e-14,2.857632787e-14,3.759615033e-14,6.090613451e-13,2.161698481e-13,2.26939284e-12,1.171876209e-13,1.352351427e-13,1.109870097e-13,3.885387054e-13,2.663332449e-13,2.871153633e-13,9.430761966e-13,1.196379422e-13,5.574287315e-14,1.897152552e-14,1.901370531e-13,3.424383967e-13,5.081392865e-14,1.388388382e-13,7.549169973e-14,1.821639905e-13,1.280541123e-13,5.271982443e-14,2.228207971e-14
0.0625,9.297988692e-14,5.877110933e-14,2.748662092e-13,1.15858759e-13,5.334703525e-14,4.163974916e-13,1.612979032e-13,7.304852167e-14,2.988504496e-14,4.068490051e-14,6.301521245e-13,2.209580775e-13,2.360397345e-12,1.200221831e-13,1.449686951e-13,1.22466616e-13,4.026810466e-13,2.760268428e-13,2.969240455e-13,9.662421031e-13,1.250789869e-13,5.960282827e-14,2.113140282e-14,1.949446067e-13,3.512364033e-13,5.51764566e-14,1.538609091e-13,8.01890566e-14,1.957728578e-13,1.322059585e-13,5.474477441e-14,2.406737177e-14
0.0703125,9.547991417e-14,6.337234333e-14,2.818154111e-13,1.211613363e-13,5.658578477e-14,4.237723541e-13,1.625513883e-13,7.642393758e-14,3.132015425e-14,4.408290151e-14,6.507902236e-13,2.25242942e-13,2.452403873e-12,1.229788186e-13,1.550034028e-13,1.351927983e-13,4.165123922e-13,2.857868977e-13,3.065707423e-13,9.88337053e-13,1.305899761e-13,6.38218266e-14,2.357492089e-14,1.991400256e-13,3.599456493e-13,6.013535067e-14,1.704200467e-13,8.500005369e-14,2.101289672e-13,1.361333097e-13,5.692914044e-14,2.62314775e-14
0.078125,9.80290435e-14,6.829990594e-14,2.883416848e-13,1.264087123e-13,5.98320717e-14,4.302647647e-13,1.639099893e-13,7.964402818e-14,3.29114109e-14,4.787004192e-14,6.709669977e-13,2.289477372e-13,2.544330196e-12,1.260342006e-13,1.65477564e-13,1.494366952e-13,4.304751155e-13,2.956237997e-13,3.162335395e-13,1.008895214e-12,1.361249928e-13,6.844764866e-14,2.631437028e-14,2.03008901e-13,3.683403665e-13,6.573836388e-14,1.885312137e-13,9.02024508e-14,2.254310559e-13,1.399651355e-13,5.937575383e-14,2.878995818e-14
0.0859375,1.007492943e-13,7.36224566e-14,2.945203941e-13,1.318067572e-13,6.315184471e-14,4.362116292e-13,1.653992916e-13,8.275987551e-14,3.470704077e-14,5.209099801e-14,6.909048378e-13,2.321940627e-13,2.6341584e-12,1.29240591e-13,1.76453956e-13,1.652470133e-13,4.456151734e-13,3.057066396e-13,3.260281781e-13,1.028334295e-12,1.417850343e-13,7.350932722e-14,2.938968822e-14,2.070661671e-13,3.760289847e-13,7.195931997e-14,2.082977351e-13,9.57410141e-14,2.416698224e-13,1.436646029e-13,6.21491964e-14,3.185099116e-14
0.09375,1.035625987e-13,7.929714068e-14,3.004873242e-13,1.371860283e-13,6.652816356e-14,4.414644104e-13,1.67121763e-13,8.578769679e-14,3.671082931e-14,5.672636602e-14,7.105484743e-13,2.350577274e-13,2.722593396e-12,1.327040821e-13,1.879474267e-13,1.826253882e-13,4.612367513e-13,3.15847111e-13,3.356936797e-13,1.046240982e-12,1.475308147e-13,7.903151239e-14,3.284289948e-14,2.107809086e-13,3.830833538e-13,7.888162785e-14,2.299618631e-13,1.012989052e-13,2.587492796e-13,1.472581527e-13,6.524713233e-14,3.549140306e-14
