"Time","Fp1","AF3","F7","F3","FC1","FC5","T7","C3","CP1","CP5","P7","P3","Pz","PO3","O1","Oz","O2","PO4","P4","P8","CP6","CP2","C4","T8","FC6","FC2","F4","F8","AF4","Fp2","Fz","Cz"
0.0078125,3.969153482e-13,9.997178224e-13,3.327529581e-13,8.336393597e-13,3.5408089e-13,2.886114255e-13,2.475460584e-14,2.840401636e-13,4.172190116e-13,2.66126963e-13,1.045960724e-12,1.453462814e-12,1.559732471e-13,2.511946296e-12,2.203593296e-12,1.22496925e-12,1.871543311e-12,1.558534851e-12,7.143865845e-13,1.958080412e-13,6.841994017e-13,8.827551228e-14,8.020161182e-14,5.589443611e-13,8.586202964e-14,7.278604675e-13,5.342202233e-13,2.028756159e-13,3.830402453e-13,5.153036579e-13,7.173812663e-13,4.893907452e-13
0.015625,4.466158949e-13,1.086004187e-12,3.554302711e-13,9.090803916e-13,3.91219494e-13,3.117504709e-13,2.753426315e-14,3.046805571e-13,4.486678175e-13,2.920440175e-13,1.195779171e-12,1.611441843e-12,1.718713894e-13,2.8030561e-12,2.450310471e-12,1.351921415e-12,2.026926464e-12,1.656458505e-12,7.663273379e-13,2.048235952e-13,6.936814522e-13,9.884755651e-14,9.100282201e-14,5.928697193e-13,9.653279386e-14,7.937666903e-13,5.793270057e-13,2.307523184e-13,4.153326436e-13,5.697097212e-13,7.800897258e-13,5.339310527e-13
0.0234375,4.997329341e-13,1.175534767e-12,3.776752898e-13,9.879176222e-13,4.311195692e-13,3.355201085e-13,3.066062661e-14,3.251850356e-13,4.807217017e-13,3.193006904e-13,1.361659064e-12,1.778015553e-12,1.891059367e-13,3.112422378e-12,2.714425999e-12,1.485950823e-12,2.185954485e-12,1.753614055e-12,8.195166475e-13,2.13770358e-13,6.983872105e-13,1.107532734e-13,1.028312447e-13,6.252438724e-13,1.080235283e-13,8.624981223e-13,6.260530188e-13,2.613539629e-13,4.490037864e-13,6.271721789e-13,8.458268696e-13,5.804547777e-13
0.03125,5.557328481e-13,1.26774443e-12,3.991540932e-13,1.069651148e-12,4.735777994e-13,3.596825625e-13,3.411851255e-14,3.45515797e-13,5.134706853e-13,3.477297203e-13,1.54304134e-12,1.951902283e-12,2.075221367e-13,3.437836161e-12,2.994130792e-12,1.62631817e-12,2.34913727e-12,1.850470035e-12,8.738029716e-13,2.226287784e-13,6.983362243e-13,1.241270132e-13,1.156164966e-13,6.553597171e-13,1.202956213e-13,9.336085146e-13,6.741914302e-13,2.947292357e-13,4.836606337e-13,6.874504648e-13,9.141835102e-13,6.290768107e-13
0.0390625,6.143728112e-13,1.362085771e-12,4.198345331e-13,1.15402367e-12,5.186447577e-13,3.839581329e-13,3.802526924e-14,3.656693418e-13,5.468274055e-13,3.774678821e-13,1.740309624e-12,2.132387474e-12,2.271386293e-13,3.777794042e-12,3.289335414e-12,1.772133043e-12,2.51483539e-12,1.946148674e-12,9.287450079e-13,2.315268902e-13,6.937362722e-13,1.392000625e-13,1.29412111e-13,6.828025347e-13,1.333221363e-13,1.006625366e-12,7.233216889e-13,3.309847987e-13,5.19091385e-13,7.500275142e-13,9.847818021e-13,6.79808399e-13
0.046875,6.753802178e-13,1.458109311e-12,4.39507437e-13,1.24061422e-12,5.662404464e-13,4.081847707e-13,4.244193063e-14,3.853373425e-13,5.804806785e-13,4.085865136e-13,1.954371804e-12,2.319366039e-12,2.479770484e-13,4.129708534e-12,3.598153156e-12,1.922118332e-12,2.680498002e-12,2.039783522e-12,9.843042733e-13,2.404776196e-13,6.849151052e-13,1.561138108e-13,1.441681183e-13,7.078021592e-13,1.470016099e-13,1.080842004e-12,7.725372964e-13,3.70077399e-13,5.549854195e-13,8.145252353e-13,1.057326407e-12,7.322704351e-13
0.0546875,7.386205431e-13,1.555249244e-12,4.579080454e-13,1.328747461e-12,6.161891667e-13,4.323188879e-13,4.735952713e-14,4.043565562e-13,6.143601855e-13,4.410027447e-13,2.185395183e-12,2.511807502e-12,2.700794301e-13,4.492658468e-12,3.920177055e-12,2.07615227e-12,2.84641782e-12,2.131749192e-12,1.040851723e-12,2.496053697e-13,6.724855524e-13,1.750054028e-13,1.599120938e-13,7.301302226e-13,1.612951302e-13,1.156178522e-12,8.219163611e-13,4.120550824e-13,5.914750362e-13,8.809185188e-13,1.131678128e-12,7.864299907e-13
0.0625,8.036211607e-13,1.653230415e-12,4.749301462e-13,1.418220511e-12,6.68385093e-13,4.564703487e-13,5.286916841e-14,4.228784743e-13,6.484853747e-13,4.747951538e-13,2.432812103e-12,2.708213862e-12,2.936080282e-13,4.866207451e-12,4.255232869e-12,2.23427087e-12,3.014116731e-12,2.222343947e-12,1.098537051e-12,2.591523149e-13,6.573085457e-13,1.959896918e-13,1.766332931e-13,7.492336218e-13,1.762343277e-13,1.23277895e-12,8.720229437e-13,4.567725606e-13,6.286679267e-13,9.487230332e-13,1.207721375e-12,8.423144851e-13
0.0703125,8.691092406e-13,1.751065233e-12,4.90212304e-13,1.508052309e-12,7.225053022e-13,4.802630592e-13,5.888122415e-14,4.405659246e-13,6.826924433e-13,5.098974635e-13,2.696211965e-12,2.907117643e-12,3.180759429e-13,5.244886769e-12,4.600136746e-12,2.39503334e-12,3.181511243e-12,2.311032349e-12,1.157333127e-12,2.691445311e-13,6.4007638e-13,2.190345097e-13,1.942834873e-13,7.648772068e-13,1.917773445e-13,1.310201921e-12,9.225404495e-13,5.037708242e-13,6.662024992e-13,1.017260778e-12,1.285138589e-12,8.99648121e-13
0.078125,9.347678644e-13,1.848133547e-12,5.038456745e-13,1.597644443e-12,7.785456541e-13,5.03555913e-13,6.528178019e-14,4.569901547e-13,7.170537484e-13,5.457181021e-13,2.97604912e-12,3.107082594e-12,3.430177751e-13,5.625584793e-12,4.956541515e-12,2.558476569e-12,3.347522448e-12,2.39814492e-12,1.217759958e-12,2.799341657e-13,6.214046175e-13,2.442886074e-13,2.129822944e-13,7.767343147e-13,2.078374606e-13,1.388237997e-12,9.732430768e-13,5.53033974e-13,7.041100717e-13,1.086330089e-12,1.363812172e-12,9.586119268e-13
