"Time","Fp1","AF3","F7","F3","FC1","FC5","T7","C3","CP1","CP5","P7","P3","Pz","PO3","O1","Oz","O2","PO4","P4","P8","CP6","CP2","C4","T8","FC6","FC2","F4","F8","AF4","Fp2","Fz","Cz"
0.0078125,9.788945746e-15,1.416388735e-14,1.153492265e-14,1.544979556e-14,1.666560677e-14,1.543911687e-15,4.765121942e-14,1.221491348e-15,1.485143933e-15,2.317191875e-14,1.786133813e-14,3.663442399e-15,9.569661034e-16,1.288554342e-14,1.62501638e-14,9.896843097e-15,6.767497406e-14,2.258348263e-14,1.613823218e-14,2.009105028e-14,4.300108489e-14,1.30462864e-14,1.715824438e-14,1.141816252e-13,1.035637254e-14,2.841967691e-15,6.448987411e-15,1.704756916e-14,1.650319281e-14,6.148389537e-15,2.14471223e-14,2.338878498e-15
0.015625,1.127555627e-14,1.340915869e-14,1.313403266e-14,1.559921646e-14,1.859945565e-14,2.209539354e-15,5.138165659e-14,1.396953212e-15,2.471399851e-15,2.927263475e-14,2.178944867e-14,4.9323922e-15,1.806907337e-15,1.644414972e-14,2.091885514e-14,1.342859274e-14,8.412571498e-14,3.072808755e-14,1.846676848e-14,2.249914605e-14,3.91866828e-14,1.234566137e-14,1.635407077e-14,1.283213387e-13,1.224881061e-14,3.636797568e-15,9.891564989e-15,2.334192427e-14,2.033267925e-14,8.61658365e-15,2.102988924e-14,2.371092064e-15
0.0234375,1.293646065e-14,1.233596069e-14,1.522243679e-14,1.565723159e-14,1.964258094e-14,3.238654601e-15,5.171950487e-14,1.450897035e-15,4.060772421e-15,3.511720592e-14,2.522192934e-14,6.27864146e-15,3.422393705e-15,2.147687923e-14,2.600713756e-14,1.784425917e-14,1.065311363e-13,4.238794408e-14,2.109787843e-14,2.339130306e-14,3.285844175e-14,1.113968374e-14,1.484690313e-14,1.356697314e-13,1.557558467e-14,4.510029076e-15,1.473561495e-14,3.054971458e-14,2.492988995e-14,1.217513128e-14,1.956840929e-14,2.37933495e-15
0.03125,1.551343576e-14,1.103953083e-14,1.771952228e-14,1.571221515e-14,1.94525217e-14,4.727277014e-15,4.91238684e-14,1.47554433e-15,6.675024733e-15,4.005071732e-14,2.693976383e-14,8.050912935e-15,6.315775381e-15,2.869288187e-14,3.074513562e-14,2.29080877e-14,1.365686165e-13,5.835455855e-14,2.410026574e-14,2.325802555e-14,2.543716183e-14,1.010346224e-14,1.326712861e-14,1.366610711e-13,2.100908632e-14,5.531116377e-15,2.093417284e-14,3.873908708e-14,2.987073239e-14,1.657337103e-14,1.722413556e-14,2.652954643e-15
0.0390625,1.944657414e-14,1.061471425e-14,2.098315772e-14,1.673508486e-14,1.831922918e-14,7.068002713e-15,4.388605675e-14,1.476213947e-15,1.043240899e-14,4.430773103e-14,2.741941574e-14,1.068479561e-14,1.070144594e-14,3.729833786e-14,3.714646935e-14,2.840643504e-14,1.731359215e-13,7.888488098e-14,2.800996567e-14,2.240674549e-14,1.841254952e-14,9.785857145e-15,1.198700388e-14,1.324478062e-13,2.827894964e-14,6.557003638e-15,2.817467008e-14,4.669163902e-14,3.567314182e-14,2.18390995e-14,1.484254964e-14,3.327500787e-15
0.046875,2.532099689e-14,1.176052953e-14,2.50549317e-14,1.937340452e-14,1.695034777e-14,1.018966241e-14,3.7944004e-14,1.592737369e-15,1.53487108e-14,4.733249114e-14,2.735130775e-14,1.444640245e-14,1.652394568e-14,4.74578774e-14,4.781935283e-14,3.499693493e-14,2.142510086e-13,1.019583386e-13,3.307150982e-14,2.119516155e-14,1.284785829e-14,1.037032803e-14,1.126833841e-14,1.240685253e-13,3.641192495e-14,7.548786498e-15,3.562409777e-14,5.285710298e-14,4.209345634e-14,2.819075992e-14,1.27505779e-14,4.454140506e-15
0.0546875,3.405815462e-14,1.474306423e-14,3.026191228e-14,2.391855853e-14,1.582547631e-14,1.385864368e-14,3.326177153e-14,1.957714212e-15,2.149703535e-14,4.90183952e-14,2.64193701e-14,2.016083154e-14,2.409743676e-14,5.931150998e-14,6.587908615e-14,4.342365179e-14,2.547819121e-13,1.25780283e-13,3.937853074e-14,2.062038073e-14,8.791030124e-15,1.19992572e-14,1.108402676e-14,1.134833051e-13,4.473419779e-14,8.495064075e-15,4.286934415e-14,5.797690552e-14,4.858550817e-14,3.532446319e-14,1.097233039e-14,6.08775534e-15
0.0625,4.593744124e-14,1.948979147e-14,3.674823754e-14,3.029714068e-14,1.544992179e-14,1.764084592e-14,3.022931822e-14,2.565306801e-15,2.889201542e-14,4.919853016e-14,2.504089504e-14,2.74263748e-14,3.346089529e-14,7.233263072e-14,9.318838951e-14,5.436637209e-14,2.888867018e-13,1.486780031e-13,4.667786727e-14,2.154475182e-14,6.14187593e-15,1.465141466e-14,1.119940273e-14,1.023316237e-13,5.260044533e-14,9.676470743e-15,4.93739579e-14,6.287564487e-14,5.433628841e-14,4.25585786e-14,9.916274648e-15,7.944101622e-15
0.0703125,5.947976818e-14,2.517614415e-14,4.383144365e-14,3.746410837e-14,1.644655952e-14,2.103986053e-14,2.962217851e-14,3.62586055e-15,3.714047274e-14,4.702376091e-14,2.369136048e-14,3.50456376e-14,4.308094355e-14,8.401247163e-14,1.291789631e-13,6.706226968e-14,3.083580969e-13,1.645763246e-13,5.360835147e-14,2.472107294e-14,4.495286858e-15,1.786067852e-14,1.118337664e-14,8.962697392e-14,5.781348889e-14,1.0764387e-14,5.371566917e-14,6.506742137e-14,5.85480344e-14,4.902125757e-14,9.64816213e-15,9.823857844e-15
0.078125,7.450784908e-14,3.094302654e-14,5.039749707e-14,4.419489451e-14,1.896801861e-14,2.354065931e-14,3.153257226e-14,5.099244903e-15,4.519472113e-14,4.328919426e-14,2.18168443e-14,4.414676206e-14,5.109018645e-14,9.480546015e-14,1.758542453e-13,8.122962872e-14,3.059226706e-13,1.675811209e-13,5.861556121e-14,3.038184656e-14,3.536957746e-15,2.118094035e-14,1.078520829e-14,7.575104523e-14,5.834104331e-14,1.146707765e-14,5.439121346e-14,6.28980719e-14,6.018434949e-14,5.332660623e-14,9.836050268e-15,1.177745718e-14
