"Time","Fp1","AF3","F7","F3","FC1","FC5","T7","C3","CP1","CP5","P7","P3","Pz","PO3","O1","Oz","O2","PO4","P4","P8","CP6","CP2","C4","T8","FC6","FC2","F4","F8","AF4","Fp2","Fz","Cz"
0.0078125,4.294256345e-11,8.381000094e-10,8.944728123e-10,2.467544914e-09,3.215996242e-11,2.469746654e-10,1.613059067e-09,1.447485959e-09,2.220853656e-09,8.676422407e-11,6.149510337e-10,6.890720214e-10,6.267576274e-09,1.921553823e-09,2.619402609e-09,9.934879557e-10,8.107549039e-10,7.930275447e-10,2.41285815e-09,6.307416274e-11,2.833995918e-10,1.94260787e-10,2.197240883e-09,2.684667135e-09,1.443142404e-09,9.170367364e-10,3.074787347e-09,1.939292935e-11,3.644243122e-09,5.817860331e-10,6.098046524e-09,4.761120006e-09
0.015625,4.270365071e-11,8.269744439e-10,8.922011105e-10,2.430531821e-09,3.158650268e-11,2.399285434e-10,1.582304845e-09,1.444197717e-09,2.186175812e-09,8.687119753e-11,6.076666718e-10,6.822024224e-10,6.169456722e-09,1.889866969e-09,2.579782696e-09,9.686638808e-10,7.97933378e-10,7.806049152e-10,2.35980428e-09,6.110312694e-11,2.790880419e-10,1.922080937e-10,2.153080558e-09,2.65634197e-09,1.433132361e-09,9.08056647e-10,3.040622681e-09,1.887457909e-11,3.5985919e-09,5.689853098e-10,5.99772931e-09,4.690791893e-09
0.0234375,4.081547561e-11,7.813346889e-10,8.567696848e-10,2.291837008e-09,3.013550086e-11,2.246218845e-10,1.485526335e-09,1.390824029e-09,2.060071675e-09,8.377179689e-11,5.755616905e-10,6.472952515e-10,5.812897825e-09,1.779247814e-09,2.431625022e-09,9.049029652e-10,7.521001009e-10,7.35417051e-10,2.2380993e-09,5.695839772e-11,2.669880182e-10,1.82149575e-10,2.019524899e-09,2.517380519e-09,1.365619796e-09,8.619251742e-10,2.880803132e-09,1.767089591e-11,3.403356733e-09,5.328182681e-10,5.64624573e-09,4.424104921e-09
0.03125,3.754149235e-11,7.075155436e-10,7.925643684e-10,2.070237147e-09,2.779179898e-11,2.018339039e-10,1.334654065e-09,1.292307284e-09,1.859425274e-09,7.780632784e-11,5.23230717e-10,5.893276383e-10,5.245403426e-09,1.604344281e-09,2.194550666e-09,8.083780605e-10,6.795891545e-10,6.633971111e-10,2.047403193e-09,5.097227189e-11,2.468772425e-10,1.654974387e-10,1.812787051e-09,2.287237104e-09,1.25011852e-09,7.851991925e-10,2.617956961e-09,1.584383691e-11,3.085840365e-09,4.773650102e-10,5.089768578e-09,3.997116201e-09
0.0390625,3.320532041e-11,6.150648553e-10,7.048001718e-10,1.795199793e-09,2.472195876e-11,1.744243544e-10,1.150772902e-09,1.15472222e-09,1.611141276e-09,6.94162674e-11,4.57013639e-10,5.152439301e-10,4.543231794e-09,1.388816192e-09,1.900508748e-09,6.927929166e-10,5.899533981e-10,5.743168733e-10,1.803904167e-09,4.396861363e-11,2.199888107e-10,1.443380083e-10,1.561881038e-09,1.994684544e-09,1.099186579e-09,6.869333376e-10,2.284511049e-09,1.36271173e-11,2.686486119e-09,4.10506068e-10,4.40389853e-09,3.466584489e-09
0.046875,2.827466781e-11,5.144024381e-10,6.02915662e-10,1.498078264e-09,2.131937247e-11,1.45925689e-10,9.555810357e-10,9.930495924e-10,1.343652853e-09,5.952059225e-11,3.841528436e-10,4.332450944e-10,3.787076611e-09,1.157443522e-09,1.583475025e-09,5.726013196e-10,4.932556742e-10,4.785141656e-10,1.539309714e-09,3.680282932e-11,1.896974256e-10,1.210489697e-10,1.296446379e-09,1.672693771e-09,9.292950797e-10,5.779652751e-10,1.917579949e-09,1.131852256e-11,2.250160718e-09,3.402773254e-10,3.667895764e-09,2.893153343e-09
0.0546875,2.331198158e-11,4.155808011e-10,4.989098423e-10,1.207884041e-09,1.794308706e-11,1.188725329e-10,7.671645592e-10,8.270524231e-10,1.082851183e-09,4.931190568e-11,3.121640912e-10,3.519248552e-10,3.050013853e-09,9.323876053e-10,1.274231459e-09,4.582687101e-10,3.989731384e-10,3.852017464e-10,1.280824867e-09,3.005390295e-11,1.593734222e-10,9.801592104e-11,1.040834765e-09,1.354134762e-09,7.59057733e-10,4.697890767e-10,1.55498564e-09,9.127726592e-12,1.820859318e-09,2.729931005e-10,2.952162187e-09,2.332828074e-09
0.0625,1.872516367e-11,3.259412343e-10,4.019384689e-10,9.454173113e-10,1.480698336e-11,9.454034771e-11,5.977611903e-10,6.713922042e-10,8.471422385e-10,3.972749676e-11,2.466313428e-10,2.777012144e-10,2.383994987e-09,7.292332707e-10,9.947065505e-10,3.561341172e-10,3.137669232e-10,3.008485703e-10,1.042766888e-09,2.406539881e-11,1.310336568e-10,7.701885499e-11,8.11348498e-10,1.063697499e-09,6.025599345e-10,3.709955516e-10,1.224699694e-09,7.152382824e-12,1.430861292e-09,2.126858448e-10,2.306212646e-09,1.825760729e-09
0.0703125,1.47330571e-11,2.494638155e-10,3.1665386e-10,7.221202815e-10,1.201440249e-11,7.368726805e-11,4.544511218e-10,5.332247726e-10,6.467684455e-10,3.125102378e-11,1.904117694e-10,2.13962494e-10,1.818004862e-09,5.567154863e-10,7.572213623e-10,2.700909969e-10,2.412663837e-10,2.291909506e-10,8.326604481e-10,1.898917872e-11,1.056638393e-10,5.902894857e-11,6.173520933e-10,8.148616396e-10,4.671216302e-10,2.860734843e-10,9.416965912e-10,5.466658693e-12,1.09760888e-09,1.617605456e-10,1.757935897e-09,1.394278793e-09
0.078125,1.141427197e-11,1.872793354e-10,2.449507706e-10,5.410911605e-10,9.614894072e-12,5.653679537e-11,3.389541387e-10,4.159043442e-10,4.844416791e-10,2.40865534e-11,1.443970099e-10,1.617825085e-10,1.359716771e-09,4.170739026e-10,5.651276252e-10,2.010239844e-10,1.824138809e-10,1.712076991e-10,6.543686472e-10,1.484162361e-11,8.379714114e-11,4.434267699e-11,4.610481116e-10,6.117116167e-10,3.553102074e-10,2.164758631e-10,7.10538514e-10,4.096299909e-12,8.261961275e-10,1.207735216e-10,1.314543443e-09,1.044423425e-09
